Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S208571883,Thicket Tinamou,Crypturellus cinnamomeus,134,1,CR-G,,L615850,PN Rincón de la Vieja--Sector Las Pailas,10.7728835,-85.3497716,2025-01-01,08:09 AM,eBird - Traveling Count,195,1,3.,,3
S209593845,Bar-headed Goose,Anser indicus,255,2,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S210156938,Bar-headed Goose,Anser indicus,255,X,CN-34,,L39417487,龙感湖,29.930536,116.10699,2025-01-14,12:07 PM,eBird - Stationary Count,429,1,,,1,,照片
S208428891,Snow Goose,Anser caerulescens,257,1,US-NC,Wake,L1471163,Lake Betz,35.8559929,-78.8834274,2025-01-07,03:22 PM,eBird - Traveling Count,38,1,1.197,,2,,Photoed
S209831734,Snow Goose,Anser caerulescens,257,1,CN-36,,L28643508,矶山 (Jishan Island),28.8955098,116.3268012,2025-01-19,07:50 AM,eBird - Traveling Count,134,1,6.541,,9
S209582223,Graylag Goose,Anser anser,264,20,SE-M,,L39483397,"247 93, Flyinge SE-Skåne County 55.74058, 13.37814",55.740584,13.378135,2025-01-17,12:30 PM,eBird - Stationary Count,4,1,,,3
S209606403,Graylag Goose,Anser anser,264,1,SE-M,,L4947936,Falsterbonäset--Nabben,55.3779058,12.810582,2025-01-17,02:06 PM,eBird - Traveling Count,64,1,3.926,,3
S210156940,Graylag Goose,Anser anser,264,X,CN-34,,L5765754,升金湖 (Shengjin Lake),30.3755681,117.1052885,2025-01-11,08:09 AM,eBird - Stationary Count,614,1,,,1
S209593845,Graylag Goose,Anser anser,264,300,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S209593885,Graylag Goose,Anser anser,264,500,CN-42,,L39485145,汉南五湖 (Hannan Wuhu),30.2078828,113.8201042,2025-01-12,09:00 AM,eBird - Traveling Count,270,1,10.,,5
S209593866,Graylag Goose,Anser anser,264,X,CN-42,,L9932156,沉湖 (Chen Lake),30.3077087,113.8482552,2025-01-12,02:30 PM,eBird - Traveling Count,120,0,10.,,5
S210251271,Graylag Goose,Anser anser,264,30,CN-35,,L4813709,闽江口 (Minjiang River Estuary),26.0341884,119.6420145,2025-01-22,01:38 PM,eBird - Traveling Count,176,1,3.131,,1,,Photo
S210156938,Graylag Goose,Anser anser,264,X,CN-34,,L39417487,龙感湖,29.930536,116.10699,2025-01-14,12:07 PM,eBird - Stationary Count,429,1,,,1
S209100165,Graylag Goose,Anser anser,264,4,CN-32,,L39186437,龙袍湿地,32.205777,118.990188,2025-01-05,08:37 AM,eBird - Traveling Count,260,1,18.,,6
S209842708,Graylag Goose (Siberian),Anser anser rubrirostris,266,7,CN-36,,L39539241,011925 Quick Stop for Cranes,28.865962,116.41837,2025-01-19,01:02 PM,eBird - Stationary Count,10,1,,,4,,,"scan from the platform, numbers by clicker"
S209672387,Graylag Goose (Siberian),Anser anser rubrirostris,266,4,CN-36,,L39502000,浮雪亭,29.089064,115.945422,2025-01-18,08:39 AM,eBird - Stationary Count,26,1,,,9
S209678365,Graylag Goose (Siberian),Anser anser rubrirostris,266,50,CN-36,,L39503287,狮子山,29.123604,115.959571,2025-01-18,10:07 AM,eBird - Stationary Count,38,1,,,9
S209848551,Graylag Goose (Siberian),Anser anser rubrirostris,266,4,CN-36,,L29368353,白鹤洲 (Baihezhou),28.8402384,116.4561555,2025-01-19,01:35 PM,eBird - Traveling Count,125,1,4.764,,4
S209831734,Graylag Goose (Siberian),Anser anser rubrirostris,266,40,CN-36,,L28643508,矶山 (Jishan Island),28.8955098,116.3268012,2025-01-19,07:50 AM,eBird - Traveling Count,134,1,6.541,,9
S209593845,Graylag Goose (Domestic type),Anser anser (Domestic type),267,5,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S210156940,Swan Goose,Anser cygnoides,270,X,CN-34,,L5765754,升金湖 (Shengjin Lake),30.3755681,117.1052885,2025-01-11,08:09 AM,eBird - Stationary Count,614,1,,,1
S210156937,Swan Goose,Anser cygnoides,270,X,CN-42,,L39437228,太白湖,29.964639,115.818634,2025-01-15,08:27 AM,eBird - Stationary Count,180,1,,,1
S209890210,Swan Goose,Anser cygnoides,270,7,CN-31,,L2080562,崇明东滩鸟类国家级自然保护区 (Chongming Dongtan NNR),31.4951401,121.9647217,2025-01-19,08:00 AM,eBird - Traveling Count,480,1,50.,,12
S210135026,Swan Goose,Anser cygnoides,270,350,CN-31,,L2080562,崇明东滩鸟类国家级自然保护区 (Chongming Dongtan NNR),31.4951401,121.9647217,2025-01-21,09:15 AM,eBird - Traveling Count,320,1,25.,,3,,exact
S209593845,Swan Goose,Anser cygnoides,270,10,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S209593885,Swan Goose,Anser cygnoides,270,20,CN-42,,L39485145,汉南五湖 (Hannan Wuhu),30.2078828,113.8201042,2025-01-12,09:00 AM,eBird - Traveling Count,270,1,10.,,5
S209593866,Swan Goose,Anser cygnoides,270,X,CN-42,,L9932156,沉湖 (Chen Lake),30.3077087,113.8482552,2025-01-12,02:30 PM,eBird - Traveling Count,120,0,10.,,5
S209672387,Swan Goose,Anser cygnoides,270,6,CN-36,,L39502000,浮雪亭,29.089064,115.945422,2025-01-18,08:39 AM,eBird - Stationary Count,26,1,,,9
S209595865,Swan Goose,Anser cygnoides,270,1,CN-32,,L11633969,清阳港鱼塘 (Qingyanggang Fish Ponds),33.5634254,120.5536683,2025-01-10,10:30 AM,eBird - Traveling Count,180,0,5.,,5
S209678365,Swan Goose,Anser cygnoides,270,1,CN-36,,L39503287,狮子山,29.123604,115.959571,2025-01-18,10:07 AM,eBird - Stationary Count,38,1,,,9
S208240429,Swan Goose,Anser cygnoides,270,1,CN-11,,L3682279,玉渊潭公园 (Yuyuantan Park),39.9169675,116.3173091,2025-01-06,01:53 PM,Historical,85,0,,,1
S209848551,Swan Goose,Anser cygnoides,270,X,CN-36,,L29368353,白鹤洲 (Baihezhou),28.8402384,116.4561555,2025-01-19,01:35 PM,eBird - Traveling Count,125,1,4.764,,4
S209831734,Swan Goose,Anser cygnoides,270,400,CN-36,,L28643508,矶山 (Jishan Island),28.8955098,116.3268012,2025-01-19,07:50 AM,eBird - Traveling Count,134,1,6.541,,9
S210156938,Swan Goose,Anser cygnoides,270,X,CN-34,,L39417487,龙感湖,29.930536,116.10699,2025-01-14,12:07 PM,eBird - Stationary Count,429,1,,,1
S209593845,Swan Goose (Domestic type),Anser cygnoides (Domestic type),271,5,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S210156940,Greater White-fronted Goose,Anser albifrons,276,X,CN-34,,L5765754,升金湖 (Shengjin Lake),30.3755681,117.1052885,2025-01-11,08:09 AM,eBird - Stationary Count,614,1,,,1
S209593845,Greater White-fronted Goose,Anser albifrons,276,20,CN-42,,L12840829,府河湿地 (Fu River Wetlands),30.7524508,114.1576218,2025-01-13,08:30 AM,eBird - Traveling Count,300,1,10.,,3
S209593885,Greater White-fronted Goose,Anser albifrons,276,500,CN-42,,L39485145,汉南五湖 (Hannan Wuhu),30.2078828,113.8201042,2025-01-12,09:00 AM,eBird - Traveling Count,270,1,10.,,5
S209593866,Greater White-fronted Goose,Anser albifrons,276,X,CN-42,,L9932156,沉湖 (Chen Lake),30.3077087,113.8482552,2025-01-12,02:30 PM,eBird - Traveling Count,120,0,10.,,5
S209595865,Greater White-fronted Goose,Anser albifrons,276,2,CN-32,,L11633969,清阳港鱼塘 (Qingyanggang Fish Ponds),33.5634254,120.5536683,2025-01-10,10:30 AM,eBird - Traveling Count,180,0,5.,,5
