Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
2,12168,species,玄凤鹦鹉 (鸡尾鹦鹉),Nymphicus hollandicus,2,Lake Clarendon,AU-QLD,31 Dec 2025,L959054,S291319862,,1
3,788,species,Blue-billed Duck,Oxyura australis,1,Lake Galletly (University of Queensland - Gatton campus),AU-QLD,31 Dec 2025,L1175001,S291331158,,1
4,656,species,Pink-eared Duck,Malacorhynchus membranaceus,2,Lake Galletly (University of Queensland - Gatton campus),AU-QLD,31 Dec 2025,L1175001,S291331158,,1
5,8187,species,Grey Goshawk,Tachyspiza novaehollandiae,1,"1 Edmond St, Marburg AU-QLD (-27.5650,152.6028)",AU-QLD,31 Dec 2025,L56592908,S291309576,,1
6,28244,species,紫宽嘴鸫,Cochoa purpurea,2,格林村 (Gelin Village),CN-54,31 Dec 2025,L35627830,S292583387,,1
7,21739,species,South Island Robin,Petroica australis,7,Ulva Island Marine Reserve,NZ-STL,31 Dec 2025,L41345609,S291359949,,1
8,18952,species,Yellowhead,Mohoua ochrocephala,14,Ulva Island Marine Reserve,NZ-STL,31 Dec 2025,L41345609,S291359949,,1
9,21,species,Southern Brown Kiwi,Apteryx australis,1,Ulva Island Marine Reserve,NZ-STL,31 Dec 2025,L41345609,S291359949,,1
10,7440,species,Otago/Foveaux Shag,Leucocarbo chalconotus,16,Stewart Island--Acker's Pt Lighthouse,NZ-STL,30 Dec 2025,L684684,S291359950,,1
12,26172,species,领鵙鹛,Gampsorhynchus torquatus,5,南贡山 (Nangong Mountain),CN-53,30 Dec 2025,L8296047,S291378052,,1
13,26184,species,棕喉雀鹛,Schoeniparus rufogularis,2,龙门村鸟塘（Longmen Village Bird Hide）,CN-53,30 Dec 2025,L56556860,S291378090,,1
14,5767,species,Black Stilt,Himantopus novaezelandiae,2,Swan Lagoon,NZ-CAN,29 Dec 2025,L56499787,S290950099,,1
15,9736,species,棕颈犀鸟,Aceros nipalensis,2,德兴乡 (Dezhing),CN-54,29 Dec 2025,L28231664,S292583420,,1
16,18953,species,Pipipi,Mohoua novaeseelandiae,2,"Historic Haast to Paringa Cattle Track, Haast NZ-West Coast -43.77221, 169.35463",NZ-WTC,28 Dec 2025,L56440766,S290950101,,1
17,25409,species,路德雀鹛,Fulvetta ludlowi,1,扎墨公路80K (ZhaMo Highway 80K),CN-54,28 Dec 2025,L17622498,S292583456,,1
18,31746,species,New Zealand Pipit,Anthus novaeseelandiae,2,Clear Water River,NZ-WTC,28 Dec 2025,L56435673,S290950102,,1
19,10175,species,Torresian Kingfisher,Todiramphus sordidus,1,Lytton Wader Roost and Wynnum Mangrove Boardwalk,AU-QLD,28 Dec 2025,L1177500,S290736710,,1
20,24,species,Okarito Kiwi,Apteryx rowi,4,Okarito--Pakihi Walk (Big Swamp),NZ-WTC,27 Dec 2025,L630736,S290950103,,1
21,13226,species,New Zealand Rockwren,Xenicus gilviventris,2,Arthur's Pass NP--Otira Valley Track,NZ-WTC,27 Dec 2025,L8010329,S290478068,,1
22,12144,species,Kea,Nestor notabilis,1,Arthur's Pass Village,NZ-CAN,27 Dec 2025,L522641,S290478070,,1
23,24162,species,纯色岩燕,Ptyonoprogne concolor,2,中科院西双版纳热带植物园--绿石林景区 (Xishuangbanna Tropical Botanical Garden--Green Stone Forest),CN-53,27 Dec 2025,L4690619,S291008389,,1
24,6724,species,Black-fronted Tern,Chlidonias albostriatus,20,"12527 West Coast Rd, Arthur's Pass NZ-Canterbury (-43.0281,171.6390)",NZ-CAN,26 Dec 2025,L56343090,S290262939,,1
25,12085,species,New Zealand Falcon,Falco novaeseelandiae,1,"West Coast Rd, Arthur's Pass NZ-Canterbury (-43.0317,171.6738)",NZ-CAN,26 Dec 2025,L56343054,S290262822,,1
26,32731,species,Cirl Bunting,Emberiza cirlus,1,"Kaikōura Recreation Reserve, Kaikōura NZ-Canterbury -42.41224, 173.65816",NZ-CAN,26 Dec 2025,L56340150,S290252637,N,1
27,5921,species,Double-banded Plover,Anarhynchus bicinctus,12,Lake Ellesmere(Te Waihora)--Wolfe's Road Bay,NZ-CAN,26 Dec 2025,L3256338,S290478073,,1
28,35352,species,Patagonian Sierra Finch,Phrygilus patagonicus,1,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
29,15308,species,Thorn-tailed Rayadito,Aphrastura spinicauda,6,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
30,11569,species,Magellanic Woodpecker,Campephilus magellanicus,4,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
31,7487,species,Black-faced Ibis,Theristicus melanopis,2,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
32,6489,species,Dolphin Gull,Leucophaeus scoresbii,2,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
33,6367,species,Chilean Skua,Stercorarius chilensis,1,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
34,5805,species,Magellanic Oystercatcher,Haematopus leucopodus,1,Ukika,CL-MA,25 Dec 2025,L3718805,S292548560,,1
35,17865,species,Red Wattlebird,Anthochaera carunculata,,Metung Bushland Reserve,AU-VIC,25 Dec 2025,L15246743,S292279551,,1
36,6860,species,Hoary-headed Grebe,Poliocephalus poliocephalus,2,Lake Elterwater,NZ-MBH,24 Dec 2025,L3100797,S290478078,,1
37,7439,species,New Zealand King Shag,Leucocarbo carunculatus,3,"Blumine Island/Ōruawairua, Marlborough Sounds Ward NZ-Marlborough -41.19087, 174.22130",NZ-MBH,24 Dec 2025,L56267283,S290478079,,1
38,21699,species,South Island Saddleback,Philesturnus carunculatus,1,Blumine Island | Oruawairua,NZ-MBH,24 Dec 2025,L2033990,S290478080,,1
39,12470,species,Malherbe's Parakeet,Cyanoramphus malherbi,4,Blumine Island | Oruawairua,NZ-MBH,24 Dec 2025,L2033990,S290478080,,1
40,5360,species,Weka,Gallirallus australis,4,Blumine Island | Oruawairua,NZ-MBH,24 Dec 2025,L2033990,S290478080,,1
41,7409,species,Spotted Shag,Phalacrocorax punctatus,11,"Monkey Bay, Queen Charlotte Sound",NZ-MBH,24 Dec 2025,L634952,S290478081,,1
42,6468,species,Black-billed Gull,Chroicocephalus bulleri,8,Picton,NZ-MBH,24 Dec 2025,L1014676,S289913972,,1
43,7197,species,Westland Petrel,Procellaria westlandica,1,Cook Strait--Wellington District side,NZ-WGN,24 Dec 2025,L43142507,S290478083,,1
45,7003,species,Salvin's Albatross,Thalassarche salvini,3,Cook Strait Ferry--Fitzroy Bay,NZ-WGN,24 Dec 2025,L3570975,S290478084,,1
46,5924,species,Wrybill,Anarhynchus frontalis,2,Waikanae Estuary--General,NZ-WGN,23 Dec 2025,L521300,S289791787,,1
