"","Submission.ID","Common.Name","Scientific.Name","State.Province","Location","Date","TAXON_ORDER","CATEGORY","SPECIES_CODE","TAXON_CONCEPT_ID","PRIMARY_COM_NAME","ORDER","FAMILY","SPECIES_GROUP","REPORT_AS","SCI_NAME"
"1","S249052688","Koklass Pheasant","Pucrasia macrolopha","CN-33","寺坞岭群山 (Siwuling Mountains)","2025-06-11",1264,"species","kokphe1","avibase-avibase-6383E214","Koklass Pheasant","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies","",NA
"2","S251437620","Lesser Cuckoo","Cuculus poliocephalus","CN-33","杭州西湖 (The West Lake)","2025-06-18",3432,"species","lescuc1","avibase-avibase-FF41B79F","Lesser Cuckoo","Cuculiformes","Cuculidae (Cuckoos)","Cuckoos","",NA
"3","S244772976","Indian Cuckoo","Cuculus micropterus","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-05-31",3434,"species","indcuc1","avibase-avibase-5CFEDF61","Indian Cuckoo","Cuculiformes","Cuculidae (Cuckoos)","Cuckoos","",NA
"4","S239008311","Common Poorwill","Phalaenoptilus nuttallii","US-AZ","California Gulch/Warsaw Canyon confluence","2025-05-16",3588,"species","compoo","avibase-avibase-D621FFC6","Common Poorwill","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Nightjars","",NA
"5","S246731362","Gray Nightjar","Caprimulgus jotaka","CN-33","No.84 Shuguang Road, Hangzhou CN-Zhejiang 30.26733, 120.14424","2025-06-05",3634,"species","grynig1","avibase-avibase-7A2734EB","Gray Nightjar","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Nightjars","",NA
"6","S251437620","Gray Nightjar","Caprimulgus jotaka","CN-33","杭州西湖 (The West Lake)","2025-06-18",3634,"species","grynig1","avibase-avibase-7A2734EB","Gray Nightjar","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Nightjars","",NA
"7","S244772976","Pacific Swift","Apus pacificus","CN-33","杭州植物园 (Hangzhou Botanical Garden)","2025-05-31",4127,"species","fotswi","avibase-avibase-E23EBEFB","Pacific Swift","Apodiformes","Apodidae (Swifts)","Swifts","",NA
"8","S273470205","Gray-headed Swamphen","Porphyrio poliocephalus","US-FL","Browns Farm Rd.","2025-09-14",5533,"species","purswa3","avibase-avibase-BFAE9B04","Gray-headed Swamphen","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies","",NA
"9","S269549984","Red Phalarope","Phalaropus fulicarius","US-CA","San Diego Trough (south)","2025-08-23",6120,"species","redpha1","avibase-avibase-18A19380","Red Phalarope","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Shorebirds","",NA
"10","S269549987","Black Turnstone","Arenaria melanocephala","US-CA","Mission Bay--entrance channel (not river mudflats)","2025-08-23",6164,"species","blktur","avibase-avibase-0413ED30","Black Turnstone","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Shorebirds","",NA
"11","S284014461","Sharp-tailed Sandpiper","Calidris acuminata","US-DE","Bombay Hook National Wildlife Refuge","2025-11-11",6181,"species","shtsan","avibase-avibase-A0A67A81","Sharp-tailed Sandpiper","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Shorebirds","",NA
"12","S290251989","Sharp-tailed Sandpiper","Calidris acuminata","NZ-CAN","Lake Ellesmere(Te Waihora)--Wolfe's Road Bay","2025-12-26",6181,"species","shtsan","avibase-avibase-A0A67A81","Sharp-tailed Sandpiper","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Shorebirds","",NA
"13","S285805045","Purple Sandpiper","Calidris maritima","US-NY","Fire Island--Wilderness East","2025-11-23",6207,"species","pursan","avibase-avibase-0A0B8431","Purple Sandpiper","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Shorebirds","",NA
"14","S257607220","Temminck's Courser","Cursorius temminckii","KE-700","Maasai Mara NR--Mara River (North)","2025-07-06",6325,"species","temcou1","avibase-avibase-7A841F83","Temminck's Courser","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Shorebirds","",NA
"15","S269549977","Long-tailed Jaeger","Stercorarius longicaudus","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",6358,"species","lotjae","avibase-avibase-1D446440","Long-tailed Jaeger","Charadriiformes","Stercorariidae (Skuas and Jaegers)","Skuas and Jaegers","",NA
"16","S269549979","Long-tailed Jaeger","Stercorarius longicaudus","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6358,"species","lotjae","avibase-avibase-1D446440","Long-tailed Jaeger","Charadriiformes","Stercorariidae (Skuas and Jaegers)","Skuas and Jaegers","",NA
"17","S269549983","Craveri's Murrelet","Synthliboramphus craveri","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6440,"species","cramur","avibase-avibase-E04DDBBB","Craveri's Murrelet","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Alcids","",NA
"18","S269549985","Sabine's Gull","Xema sabini","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"19","S269549977","Sabine's Gull","Xema sabini","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"20","S269549986","Sabine's Gull","Xema sabini","US-CA","Off Mission Bay (offshore species only)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"21","S269549984","Sabine's Gull","Xema sabini","US-CA","San Diego Trough (south)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"22","S269549978","Sabine's Gull","Xema sabini","US-CA","San Diego Trough (south)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"23","S269549983","Sabine's Gull","Xema sabini","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"24","S269549979","Sabine's Gull","Xema sabini","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6455,"species","sabgul","avibase-avibase-86182656","Sabine's Gull","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"25","S269549983","Arctic Tern","Sterna paradisaea","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6733,"species","arcter","avibase-avibase-BDC5CF80","Arctic Tern","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"26","S269549979","Arctic Tern","Sterna paradisaea","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6733,"species","arcter","avibase-avibase-BDC5CF80","Arctic Tern","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers","",NA
"27","S269286646","Clark's Grebe","Aechmophorus clarkii","US-CA","Lake Hodges--boat launch (central)","2025-08-24",6891,"species","clagre","avibase-avibase-D05FFEF7","Clark's Grebe","Podicipediformes","Podicipedidae (Grebes)","Grebes","",NA
"28","S269549986","Pacific Loon","Gavia pacifica","US-CA","Off Mission Bay (offshore species only)","2025-08-23",6931,"species","pacloo","avibase-avibase-B7D7EF23","Pacific Loon","Gaviiformes","Gaviidae (Loons)","Loons","",NA
"29","S269549983","Black-footed Albatross","Phoebastria nigripes","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6988,"species","bkfalb","avibase-avibase-EE8ECB1D","Black-footed Albatross","Procellariiformes","Diomedeidae (Albatrosses)","Albatrosses","",NA
"30","S269549979","Black-footed Albatross","Phoebastria nigripes","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",6988,"species","bkfalb","avibase-avibase-EE8ECB1D","Black-footed Albatross","Procellariiformes","Diomedeidae (Albatrosses)","Albatrosses","",NA
"31","S269549984","Townsend's Storm-Petrel","Hydrobates socorroensis","US-CA","San Diego Trough (south)","2025-08-23",7056,"species","leastp5","avibase-avibase-C794DCC7","Townsend's Storm-Petrel","Procellariiformes","Hydrobatidae (Northern Storm-Petrels)","Storm-Petrels","",NA
"32","S269549983","Townsend's Storm-Petrel","Hydrobates socorroensis","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",7056,"species","leastp5","avibase-avibase-C794DCC7","Townsend's Storm-Petrel","Procellariiformes","Hydrobatidae (Northern Storm-Petrels)","Storm-Petrels","",NA
"33","S269549979","Townsend's Storm-Petrel","Hydrobates socorroensis","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",7056,"species","leastp5","avibase-avibase-C794DCC7","Townsend's Storm-Petrel","Procellariiformes","Hydrobatidae (Northern Storm-Petrels)","Storm-Petrels","",NA
"34","S269549983","Ashy Storm-Petrel","Hydrobates homochroa","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",7063,"species","asspet","avibase-avibase-04B43245","Ashy Storm-Petrel","Procellariiformes","Hydrobatidae (Northern Storm-Petrels)","Storm-Petrels","",NA
"35","S269549985","Pink-footed Shearwater","Ardenna creatopus","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"36","S269549977","Pink-footed Shearwater","Ardenna creatopus","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"37","S269549986","Pink-footed Shearwater","Ardenna creatopus","US-CA","Off Mission Bay (offshore species only)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"38","S269549984","Pink-footed Shearwater","Ardenna creatopus","US-CA","San Diego Trough (south)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"39","S269549978","Pink-footed Shearwater","Ardenna creatopus","US-CA","San Diego Trough (south)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"40","S269549982","Pink-footed Shearwater","Ardenna creatopus","US-CA","The Corner (SD Co.)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"41","S269549983","Pink-footed Shearwater","Ardenna creatopus","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"42","S269549979","Pink-footed Shearwater","Ardenna creatopus","US-CA","Thirty Mile Bank (SD Co.)","2025-08-23",7205,"species","pifshe","avibase-avibase-9A77D2B0","Pink-footed Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"43","S269549985","Black-vented Shearwater","Puffinus opisthomelas","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",7234,"species","bkvshe","avibase-avibase-4FC153E1","Black-vented Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"44","S269549977","Black-vented Shearwater","Puffinus opisthomelas","US-CA","Lower Nine Mile Bank (SD Co.)","2025-08-23",7234,"species","bkvshe","avibase-avibase-4FC153E1","Black-vented Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"45","S269549986","Black-vented Shearwater","Puffinus opisthomelas","US-CA","Off Mission Bay (offshore species only)","2025-08-23",7234,"species","bkvshe","avibase-avibase-4FC153E1","Black-vented Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"46","S269549975","Black-vented Shearwater","Puffinus opisthomelas","US-CA","Off Mission Bay (offshore species only)","2025-08-23",7234,"species","bkvshe","avibase-avibase-4FC153E1","Black-vented Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"47","S269549976","Black-vented Shearwater","Puffinus opisthomelas","US-CA","Off Point Loma (offshore species only)","2025-08-23",7234,"species","bkvshe","avibase-avibase-4FC153E1","Black-vented Shearwater","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Petrels, Shearwaters, and Diving-Petrels","",NA
"48","S269549976","Cocos Booby (Brewster's)","Sula brewsteri","US-CA","Off Point Loma (offshore species only)","2025-08-23",7345,"species","brnboo1","avibase-avibase-AD2B8E99","Cocos Booby","Suliformes","Sulidae (Boobies and Gannets)","Frigatebirds, Boobies, and Gannets","","Sula brewsteri"
